Sent	New Community	Send and manage customer messages across SMS, WhatsApp, and RCS. Build and manage production messaging workflows.
Eventtia MCP	New Community	MCP connector for Eventtia Connect.
Heatseeker	New Community	Chat with personas, track experiments, monitor ads
Arbium	New Community	Recall your work history and give Claude context to complete tasks the way you would.
Walletap	New Community	Design a wallet pass template, issue passes against it, and push updates to phones that already hold one - loyalty cards, tickets and memberships across Apple and Google Wallet.
Loopthink	New Community	Governed access to your company's databases, CRMs and internal APIs — one connector, with per-group entitlements and field-level masking applied before any result reaches Claude.
Mallary	New Community	Post on social media and reply to your comments with Claude
Nirvana	New Community	Capture, clarify and review your Nirvana tasks, projects and GTD lists
3Min API	New Community	Create a working REST API endpoint without writing backend code, then test it, search what comes in, and share access with partners — all from chat.
Dewey Data	New Community	Find research datasets for academics, right from Claude
Windsor.ai for TikTok Ads	New Community	Connect TikTok Ads to Claude: query ad spend, ROAS, conversions, and campaign performance in plain language, then pause campaigns or adjust budgets. By Windsor.ai.
Wispr Flow	Trending	Your meetings, notes, and tasks from Wispr Flow — now native context for Claude.
Windsor.ai for Facebook Pages	New Community	Connect Facebook Pages to Claude: query page likes, reach, impressions, engagement, video views, and organic post performance in plain language. By Windsor.ai.
Windsor.ai for YouTube	New Community	Connect YouTube to Claude: query views, watch time, subscriber growth, engagement, and channel and video performance in plain language across any date range. By Windsor.ai.
Windsor.ai for TikTok Organic	New Community	Connect TikTok Organic to Claude: query video views, likes, comments, shares, follower growth, and profile views in plain language to see which content performs. By Windsor.ai.
Windsor.ai for LinkedIn Ads	New Community	Connect LinkedIn Ads to Claude: query ad spend, impressions, clicks, leads, and conversions in plain language, then pause or enable campaign groups and campaigns or set budgets. By Windsor.ai.
Windsor.ai for Google Ads	New Community	Connect Google Ads to Claude: query ad spend, ROAS, CPC, conversions, and keyword performance in plain language, then create or pause campaigns, adjust budgets, and manage keywords. By Windsor.ai.
Windsor.ai for Klaviyo	New Community	Connect Klaviyo to Claude: query email & SMS campaign and flow performance, open and click rates, and revenue in plain language, then create flows or set them live. By Windsor.ai.
Windsor.ai for Google Search Console	New Community	Connect Google Search Console to Claude: query clicks, impressions, CTR, and average position across search queries, pages, countries, and devices in plain language. By Windsor.ai.
Unbounce Landing Page Builder	New Community	Build, test, and publish Unbounce landing pages
Reckon	New Community	Verify email addresses.
Windsor.ai for Google Merchant Center	New Community	Connect Google Merchant Center to Claude: query product status, disapprovals, clicks, impressions, CTR, and price benchmarks in plain language to keep your shopping feed healthy. By Windsor.ai.
Jobs to be Done (JTBD) Interview Analyzer	New Community	Turn any customer interview transcript into an expert Jobs-to-be-Done analysis. Forces, timeline, requirements, and product opportunities, plus a shareable report, in under two minutes.
Audioscrape	New Community	Search everything said in podcasts, government meetings, and your own recordings — with speaker attribution, exact timestamps, and links that jump to the moment it was said.
Givemeanode	New Community	GPUs for your agent
Windsor.ai for Instagram	New Community	Connect Instagram to Claude: query organic reach, engagement, follower growth, and post, Reels & Stories performance in plain language, then publish image posts. By Windsor.ai.
Stratyfix	New Community	Your pipeline and pace, answered with real permissions
GoHighLevel by Windsor.ai	New Community	Connect GoHighLevel CRM to Claude: query contacts, opportunities, pipeline stages, appointments, campaigns, and lead conversions in plain language. By Windsor.ai.
Windsor.ai for Google Analytics 4	New Community	Connect Google Analytics 4 to Claude: query sessions, users, events, conversions, and revenue in plain language and see which channels and landing pages drive results. By Windsor.ai.
Windsor.ai for Microsoft Ads (Bing)	New Community	Connect Microsoft Ads (Bing) to Claude: query ad spend, impressions, clicks, conversions, and CPC in plain language, then pause or enable campaigns and ad groups or set budgets. By Windsor.ai.
MilanMetroStatus.it	New Interactive Community	Real-time Metro Updates
Windsor.ai for Google Business Profile	New Community	Connect Google Business Profile to Claude: query search & Maps views, calls, website clicks, direction requests, and reviews in plain language, then reply to reviews or post updates. By Windsor.ai.
Lab08 Lens	New Community	Investor pipeline management and deal intelligence layer
Windsor.ai for LinkedIn Pages	New Community	Connect LinkedIn Pages to Claude: query follower growth, impressions, engagement, post performance, and visitor demographics for your company pages in plain language. By Windsor.ai.
LetsBot	Trending	Manage your Letsbot conversations and get smart reports
RankedIn - Career Intelligence & Network Analytics	Trending Community	Know where you really stand on LinkedIn
Idiolect	Trending	Make Claude write in your real writing voice.
Clipkit	New Community	A video toolbox for Claude: compose videos as structured JSON, validate and preview frames, then open a free in-browser editor to render the MP4.
AWS MCP	New	Give agents secure access to AWS via MCP
Loops	New Community	Run Loops with Claude
Re:port Flow	New Community	Generate PDF reports (invoices, contracts, statements, …) from your ReportFlow templates, straight from Claude.
Stocklake	Community	Real-time stock data, AI signals & market intelligence
Wingify	New	Optimize digital experiences directly from Claude and supercharge your CRO workflow.
Mercado Libre Inmuebles	Trending	Encontrar tu propiedad ideal
Haystack	New Trending Community	Search your Haystack workspace for people, teams, and company knowledge — with your existing permissions.
Bronto	New	Query your Observability data in plain language, then turn what you find into monitors, saved searches, and Investigation Reports.
Undermind	New Community	Find, read, and organize scientific papers
Dango	Trending Community	Build beautiful presentations, in your own brand.
Articulate EU	New Interactive Community	Build interactive training right from Claude. For EU Articulate users.
Refine.ink	Community	AI proofreader for serious academic and technical writing — it critiques your manuscript like an expert reviewer, surfacing flaws in arguments, methods, and rigor.
PDF4me	New Interactive Community	PDF done simple and online!
Mailopoly Inbox	Community	Search, send and triage all your email — Gmail, Outlook, Apple, Yahoo, IMAP — in one unified inbox: noise filtered (Cleanbox), Catch-Up briefings, tasks. From your AI assistant.
MyChatBot	Trending Community	Build and run an AI sales agent for your business
PubCrawl	Community	Real biomedical literature and drug data for Claude
wiserwork	New Community	Turn your meetings into searchable, finished work
Mailrith	Community	Manage email marketing campaigns
Call Me	New Community	Your AI calls your phone when a task's done or it's stuck — hear the update, say what's next, keep moving.
Foundry IMS	Community	Manage your Foundry IMS catalog and assemblies from Claude — products, variants, inventory, brands, categories, images, bundles, custom fields, and bills of materials.
UX Pilot	New Interactive Community	Ideate, design and ship production-ready UI in one place.
Develop21	Trending Community	Turn your AI assistant into an honest career coach
Autosheet	New Community	A specialized spreadsheet agent for Google Sheets work
DataSelf MCP+	Community	Query trusted, curated, governed, high-performance data and models from your data warehouse.
to-teach	Community	Create classroom-ready worksheets, lessons and interactive activities from any topic or source—then share, collect responses or export.
DocStash	New Interactive Community	The home for what your AI makes
Yardi Deal Manager	New Community	Surface commercial leasing pipeline insights from Yardi Deal Manager
Trip Logistics Assistant	Interactive Community	Book trip logistics: cars, transfers, eSIM & more
CI HUB	New Interactive Community	Access, search, and manage all your digital assets from your connected DAM
QuickFile Accounting Software	Community	Analyse your QuickFile accounting data from a conversation
Agenticsis Visibility Monitor	Community	See how AI assistants and search see your company: AI citations, Share of Voice, rankings, backlinks, and a 54-check AEO/SEO scorecard, measured monthly.
Octolane	New Community	Revenue Superintelligence
Shoppable	New Interactive Community	Search, shop, and build a cart from multiple top brands and retailers. When you're ready to buy, get a checkout link and complete your purchase on Shoppable.
Agency AI	Community	Meta and Google ad intelligence for Shopify stores, in Claude. Performance analysis, optimal architecture, budget strategy, and creative direction.
CISO360AI	New Community	CISO360AI: Cybersecurity at the speed of AI - Ask about your security posture, compliance progress and open risks — and act on them — straight from Claude.
Workopia	Community	Search jobs globally, tailor resume + cover letter
ClinicalTrials.gov Explorer (by BLEN)	Community	Search & analyze 500K+ clinical trials with Claude
TubeAlfred	New Community	Read-only YouTube data for Claude: transcripts, comments, channels, playlists, Shorts, search, and trending. No Google Cloud project or YouTube Data API quota required.
Saturation	New Community	The financial operating system for production teams
BioSkepsis	Community	Run a full life-science literature review inside Claude and get back a citation-grounded, trust-scored brief
Rebbel	New Community	AI marketing department — you approve every post.
Gainable	New Community	Finished internal apps, built from your data.
Pipedrive	New Community	Find deals, update records, manage activities and work with your live CRM data using natural language.
Moody Lenses	New Interactive Community	Browse Moody's coloured contact lenses and check out.
Tariff Code Compliance	New Community	Research tariff codes
Lyssna	New Community	Query and summarize research data across tests and surveys
Montage	Interactive Community	Turn a video into a shareable clip without leaving your chat.
Streamline: Icons, Illustrations and Elements	New Community	Insert PNG and SVG Icons, Illustrations, Elements and Emojis
SlideForge	Community	Editable PowerPoint from typed intents — deterministic, verbatim, no invented numbers
0Delta.ai	New Community	Finance intelligence for CFOs & founders
Parse.ly	Community	Query Parse.ly content analytics — top posts, referrers, authors, real-time pulse, campaigns, and more across your sites.
Inkbox	New Community	Email, SMS, and iMessage for AI agents
HyperFrames by HeyGen	Interactive	Build animated slides and motion graphics with HTML
Able SEO by VibeSEO	Community	SEO keyword research, competitor analysis, backlink data, technical site audits, and Google Search Console insights — plus AI-assisted blog drafting.
Decile	Interactive Community	Analyze, segment, and uncover insights in your ecommerce customer data
Revise	Community	Write and edit documents together with your AI agent
Layla Eco	New Community	Chat with your home — air quality, noise, occupancy
Tactiq	New Community	Search, summarise & find answers in meetings
ReactVision: ViroReact MCP	New Community	Go from idea to cross-platform XR application quicker than ever with ReactVision's ViroReact MCP Server.
Finseo	Community	AI search visibility & SEO analytics
onX Offroad	Interactive Community	Find your next off-road adventure onX Offroad
유아이볼 (uibowl)	New Interactive Community	Search and compare real UI/UX screens from mobile apps and websites for design reference
Opendate	New Community	Live venue, ticketing, and booking data for your team
ContentMonk	New Community	All-in-one content marketing software ‍to improve your AI & SEO visibility
Nexus	Interactive Community	Your workout, meal, and body-weight log that lives in the chat. Say what you ate or lifted — Nexus logs it, tracks PRs, and shows your day on one card.
AirHelp flight compensation checker	New Interactive Community	Get up to €600 for a delayed or cancelled flight
Agent Grid	New Interactive Community	Create, share, and evolve interactive artifacts with humans and AI agents.
Cora	New Community	Query all your customer data. Prep for every meeting. Run agents that do the work.
MindMap AI	New Interactive Community	Create mind maps and concept maps from your conversation, then keep refining them: expand branches, add arrows, switch layouts, and export.
Meticulous	New Community	Give your agents access to Meticulous, so they can review test runs, debug replays, and ship frontend changes autonomously, end-to-end.
ConnectMachine	Community	Your contacts and digital cards, in every AI tool
NUEIP	New Community	Ask about attendance, leave, shifts, org structure, and approvals in NUEIP — through your own account, with your own permissions.
GVRN Company Incorporation MCP	Community	Incorporate company with GVRN in BVI, Cayman, Singapore, Panama, Delaware, Costa Rica and other supported jurisdictions
OpenArt Lite	New Interactive Community	Create with OpenArt, right inside Claude.
Mixer4AI	New Community	Where verified AI agents find their next deal
Firecrawl	New Community	Search the live web, research papers, and code repositories for high-quality context
Swath API	Community	Radar-verified hail and wind storm detection with affected-property intelligence for the continental US — find storms, map damage swaths, and pull ranked property reports.
Wiv	New Community	Automate FinOps workflows, cases, and cloud ops
Foodics MCP	New Community	Chat with your Foodics restaurant business : sales, orders, menu, inventory, customers and branches in one place.
YES2SDK	New Community	Integrate once. Publish everywhere. A unified SDK for HTML5 game platforms.
Keenable Web Search	Community	Live web search and clean-markdown page fetch for AI agents. Keyless by default.
Atlas	New Community	Restaurant operations
Onplana	New Community	AI-native project and portfolio management: projects, tasks, sprints, risks, issues, timesheets, financials and governance, plus native migration from Microsoft Project.
Supericons	Community	Find SVG icons by meaning
MyMovement.Space	Community	Create personalized training sessions in Claude from MyMovement's expert-validated exercise catalog. Open and execute them in the MyMovement.Space app.
Tomi — AI Phone Calls	Community	Claude makes real phone calls for you, in many languages
Mitosis Labs	New Community	Your Company brain or Second brain. Your email, calendar, files and contacts as one private memory Claude can search, with a citation behind every answer.
Structured	New Interactive Community	All in one daily planner
CoinGecko	Interactive Community	Live cryptocurrency prices, comparisons, charts, and market context.
Trademo Hermes for Claude	Community	Enable AI assistants with global trade intelligence to discover companies, analyze trade activity, and generate actionable business insights using Hermes, Trademo's Trade Intelligence MCP.
OneLens	Community	Cloud cost & FinOps analytics for your AI assistant
Cobot Coworking Software	New Community	Access your Coworking Space on Cobot with Claude
Appstack	New Community	Query your app's attribution, revenue, and campaign analytics — and manage tracking links — directly from Claude.
Alloy Robotics	New Community	Analyze robot fleet data
Everly	Community	AI Wedding Planner for Couples
TextExpander	New Community	Create, search, and manage your TextExpander snippets right from Claude.
lastminute.com	(none)	Search, compare and book flights, dynamic packages (flight + hotel) and hotels across global airlines and hotel suppliers.
GatherHQ	New Community	Run real or synthetic market research and turn real customer understanding into deep insights and marketable content, without leaving Claude.
