Sent	https://sent.dm	Communication
Eventtia MCP	https://www.eventtia.com	Ticketing and Events
Heatseeker	https://www.heatseeker.ai	Marketing and Sales
Arbium	https://arbium.ai	Productivity
Walletap	https://www.walletap.io	Marketing and Sales	same site also served at walletap.com
Loopthink	https://www.loopthink.ai	Data and Analytics	site title "Sovereign MCP Control Plane" matches; indexed body copy partly stale
Mallary	https://mallary.ai	Marketing and Sales
Nirvana	https://www.nirvanahq.com	Productivity
3Min API	https://3minapi.com	Development Tools
Dewey Data	https://www.deweydata.io	Research and Academic
Windsor.ai for TikTok Ads	https://windsor.ai/connectors/tiktok-ads	Marketing and Sales
Wispr Flow	https://wisprflow.ai	Productivity
Windsor.ai for Facebook Pages	https://windsor.ai/connectors/facebook-page-insights	Marketing and Sales
Windsor.ai for YouTube	https://windsor.ai/connectors/youtube	Marketing and Sales
Windsor.ai for TikTok Organic	https://windsor.ai/connectors/tiktok-organic	Marketing and Sales
Windsor.ai for LinkedIn Ads	https://windsor.ai/connectors/linkedin-ads	Marketing and Sales
Windsor.ai for Google Ads	https://windsor.ai/connectors/google-ads	Marketing and Sales
Windsor.ai for Klaviyo	https://windsor.ai/connectors/klaviyo	Marketing and Sales
Windsor.ai for Google Search Console	https://windsor.ai/connectors/google-search-console	SEO and Web
Unbounce Landing Page Builder	https://unbounce.com	CMS and Web Building
Reckon	https://reckonapp.io	Marketing and Sales
Windsor.ai for Google Merchant Center	https://windsor.ai/connect/google-merchant-center-to-claude-integration	Marketing and Sales	no /connectors/ page surfaced; Claude integration page used
Jobs to be Done (JTBD) Interview Analyzer	https://analyzer.jobstobedone.org	Marketing and Sales
Audioscrape	https://www.audioscrape.com	Research and Academic
Givemeanode	https://givemeanode.com	Cloud and Infrastructure
Windsor.ai for Instagram	https://windsor.ai/connectors/instagram	Marketing and Sales
Stratyfix	https://stratyfix.com	Marketing and Sales	AI sales call scoring/coaching; permissions-governed
GoHighLevel by Windsor.ai	https://windsor.ai/connect/gohighlevel-to-claude-integration	Marketing and Sales	Claude-specific connector page; no /connectors/gohighlevel page found
Windsor.ai for Google Analytics 4	https://windsor.ai/connectors/google-analytics-4	Data and Analytics
Windsor.ai for Microsoft Ads (Bing)	https://windsor.ai/connectors/bing-ads	Marketing and Sales	Vendor page titled "Bing Ads Connector"
MilanMetroStatus.it	https://milanmetrostatus.it	Travel	Independent site, not ATM Milano official
Windsor.ai for Google Business Profile	https://windsor.ai/connectors/google-my-business	Marketing and Sales	Vendor page still uses legacy "Google My Business" slug
Lab08 Lens	https://lab08.com/lens	Finance and Trading
Windsor.ai for LinkedIn Pages	https://windsor.ai/connectors/linkedin-pages	Marketing and Sales
LetsBot	https://letsbot.net	Communication	WhatsApp Business platform; Claude page at /en/claude.html
RankedIn - Career Intelligence & Network Analytics	UNVERIFIED	Jobs	Only LinkedIn posts referencing "RankedIn.App"; no vendor homepage found in 2 searches
Idiolect	https://idiolect.app	Productivity	Free variant also at idiolect.lol
Clipkit	https://www.clipkit.dev	Design and Creative
AWS MCP	https://aws.amazon.com/products/developer-tools/agent-toolkit-for-aws	Cloud and Infrastructure	AWS MCP Server is part of Agent Toolkit for AWS
Loops	https://loops.so	Marketing and Sales
Re:port Flow	https://lp.re-port-flow.com/en	Documents and Files	Verified EN landing page; operated by Monepla, Inc.
Stocklake	UNVERIFIED	Finance and Trading	Only third-party MCP directory listings (glama, claudemarketplaces); api.stocklake.dev cited but no homepage confirmed
Wingify	https://wingify.com	Marketing and Sales	Unified DXO suite brand over VWO + AB Tasty
Mercado Libre Inmuebles	UNVERIFIED	Lifestyle and Local	Product page exists per country (.com.ar / .com.mx / .com.co /c/inmuebles); connector's country not specified
Haystack	https://www.haystackteam.com	Productivity
Bronto	https://bronto.io	Observability and Monitoring
Undermind	https://www.undermind.ai	Research and Academic
Dango	UNVERIFIED	Design and Creative	MCP endpoint api.trydango.com and connector id com.trydango point to trydango.com, but homepage not confirmed; getdango.dev is a different product
Articulate EU	https://www.articulate.com	Education	shared-domain; EU-region variant of the Articulate connector, no EU-specific page found
Refine.ink	https://www.refine.ink	Research and Academic
PDF4me	https://pdf4me.com	Documents and Files
Mailopoly Inbox	https://www.mailopoly.com	Communication
MyChatBot	https://mychatbot.app	Marketing and Sales
PubCrawl	https://www.pharmatools.ai/pubcrawl	Healthcare and Life Sciences	built by PharmaTools.AI
wiserwork	https://www.wiserwork.ai	Productivity
Mailrith	https://mailrith.com	Marketing and Sales
Call Me	UNVERIFIED	Communication	ambiguous: several distinct "call me" phone-call-for-AI products (ZeframLou/call-me plugin, Paigy, AgentCall, Dial); none plainly the directory entry
Foundry IMS	https://foundryims.com	Marketing and Sales
UX Pilot	https://uxpilot.ai	Design and Creative
Develop21	https://develop21.ai	Jobs
Autosheet	https://autosheet.com	Productivity
DataSelf MCP+	https://www.dataself.com	Data and Analytics	shared-domain
to-teach	https://to-teach.ai	Education
DocStash	UNVERIFIED	Documents and Files	docstash.dev exists but positions as a markdown/notes store for CLI+MCP, not the "stash HTML/Word/Excel/PDF/live apps, publish at a permanent URL" product described
Yardi Deal Manager	https://www.yardi.com/product/deal-manager	Marketing and Sales
Trip Logistics Assistant	https://triplogistics.app	Travel
CI HUB	https://ci-hub.com	Design and Creative
QuickFile Accounting Software	https://www.quickfile.co.uk	Finance and Trading
Agenticsis Visibility Monitor	https://agenticsis.ch/ai-aeo-seo-optimization	SEO and Web
Octolane	https://www.octolane.com	Marketing and Sales
Shoppable	https://about.shoppable.com	Lifestyle and Local
Agency AI	https://www.agencyai.app	Marketing and Sales
CISO360AI	https://ciso360.ai	Security
Workopia	https://workopia.io	Jobs
ClinicalTrials.gov Explorer (by BLEN)	https://github.com/blencorp/clinicaltrial-mcp-server	Healthcare and Life Sciences	vendor BLEN; open-source repo is the product's canonical page
TubeAlfred	https://tubealfred.com	Data and Analytics
Saturation	https://saturation.io	Finance and Trading
BioSkepsis	https://bioskepsis.ai	Research and Academic
Rebbel	https://www.rebbel.io	Marketing and Sales
Gainable	https://www.gainable.dev	Development Tools
Pipedrive	https://www.pipedrive.com	Marketing and Sales
Moody Lenses	https://moodylenses.com	Lifestyle and Local
Tariff Code Compliance	UNVERIFIED	Legal	no vendor homepage found; a same-named Shopify app exists (catalog HS-code sync) but is a different product from "research tariff codes"
Lyssna	https://www.lyssna.com	Design and Creative
Montage	https://montage.app	Design and Creative
Streamline: Icons, Illustrations and Elements	https://www.streamlinehq.com	Design and Creative
SlideForge	https://slideforge.dev	Documents and Files
0Delta.ai	UNVERIFIED	Finance and Trading	company confirmed only via LinkedIn (0Delta, Amsterdam; AI-native financial infrastructure for VC-backed companies); no vendor homepage surfaced in two searches
Parse.ly	https://www.parse.ly	Data and Analytics
Inkbox	https://inkbox.ai	Communication
Able SEO by VibeSEO	https://vibeseo.dev	SEO and Web	"Able SEO by VibeSEO" is the app-directory listing name for VibeSEO
Decile	https://decile.com	Data and Analytics
Revise	https://revise.io	Documents and Files
Layla Eco	https://layla.eco	Lifestyle and Local
Tactiq	https://tactiq.io	Productivity
ReactVision: ViroReact MCP	https://reactvision.xyz/viro-react	Development Tools
Finseo	https://www.finseo.ai	SEO and Web
onX Offroad	https://www.onxmaps.com/offroad/app	Travel
유아이볼 (uibowl)	https://uibowl.io	Design and Creative
Opendate	https://www.opendate.io	Ticketing and Events
ContentMonk	https://www.contentmonk.io	SEO and Web
Nexus	UNVERIFIED	Lifestyle and Local	Generic name; multiple unrelated fitness/health "Nexus" products, none matching the chat-log connector
AirHelp flight compensation checker	https://www.airhelp.com	Travel
Agent Grid	UNVERIFIED	AI and ML	agentgrid.sh exists but is a coding-agent canvas, not an interactive-artifact platform; no confident match
Cora	https://www.cora.ai	Marketing and Sales
MindMap AI	https://mindmapai.app	Productivity
Meticulous	https://www.meticulous.ai	Development Tools
ConnectMachine	https://www.connectmachine.ai	Productivity
NUEIP	https://www.nueip.com	Productivity
GVRN Company Incorporation MCP	https://www.gvrn.ai/incorporate	Legal
OpenArt Lite	https://openart.ai	Design and Creative
Mixer4AI	UNVERIFIED	AI and ML	No vendor page found in two searches; only unrelated AI-agent marketplaces
Firecrawl	https://www.firecrawl.dev	Development Tools
Swath API	https://swathapi.com	Data and Analytics
Wiv	https://wiv.ai	Cloud and Infrastructure
Foodics MCP	https://www.foodics.com	Data and Analytics
YES2SDK	https://www.yes2games.com	Development Tools	shared-domain
Keenable Web Search	https://keenable.ai	Development Tools
Atlas	https://atlas.kitchen	Productivity
Onplana	https://onplana.com	Project Management
Supericons	https://supericons.dev	Design and Creative
MyMovement.Space	https://mymovement.space	Lifestyle and Local
Tomi — AI Phone Calls	UNVERIFIED	Communication	Ambiguous name; TOMIS (tour-operator voice AI) and TOMI (crypto wallet) are different vendors, neither matches
Mitosis Labs	https://mitosislabs.ai	Productivity
Structured	https://structured.app	Productivity
